omega,S_connected_symmetrized
-5.155595572434927476e+01,0.000000000000000000e+00
-5.152848851298840316e+01,0.000000000000000000e+00
-5.150102130162753866e+01,0.000000000000000000e+00
-5.147355409026667417e+01,0.000000000000000000e+00
-5.144608687890580256e+01,0.000000000000000000e+00
-5.141861966754493096e+01,0.000000000000000000e+00
-5.139115245618406647e+01,0.000000000000000000e+00
-5.136368524482320197e+01,0.000000000000000000e+00
-5.133621803346233037e+01,0.000000000000000000e+00
-5.130875082210145877e+01,0.000000000000000000e+00
-5.128128361074059427e+01,0.000000000000000000e+00
-5.125381639937972977e+01,0.000000000000000000e+00
-5.122634918801885817e+01,0.000000000000000000e+00
-5.119888197665798657e+01,0.000000000000000000e+00
-5.117141476529712207e+01,0.000000000000000000e+00
-5.114394755393625758e+01,0.000000000000000000e+00
-5.111648034257538598e+01,0.000000000000000000e+00
-5.108901313121452148e+01,0.000000000000000000e+00
-5.106154591985364988e+01,0.000000000000000000e+00
-5.103407870849278538e+01,0.000000000000000000e+00
-5.100661149713191378e+01,0.000000000000000000e+00
-5.097914428577104928e+01,0.000000000000000000e+00
-5.095167707441017768e+01,0.000000000000000000e+00
-5.092420986304931319e+01,0.000000000000000000e+00
-5.089674265168844158e+01,0.000000000000000000e+00
-5.086927544032757709e+01,0.000000000000000000e+00
-5.084180822896670549e+01,0.000000000000000000e+00
-5.081434101760584099e+01,0.000000000000000000e+00
-5.078687380624496939e+01,0.000000000000000000e+00
-5.075940659488410489e+01,0.000000000000000000e+00
-5.073193938352323329e+01,0.000000000000000000e+00
-5.070447217216236879e+01,0.000000000000000000e+00
-5.067700496080149719e+01,0.000000000000000000e+00
-5.064953774944063269e+01,0.000000000000000000e+00
-5.062207053807976109e+01,0.000000000000000000e+00
-5.059460332671889660e+01,0.000000000000000000e+00
-5.056713611535802499e+01,0.000000000000000000e+00
-5.053966890399716050e+01,0.000000000000000000e+00
-5.051220169263628890e+01,0.000000000000000000e+00
-5.048473448127542440e+01,0.000000000000000000e+00
-5.045726726991455280e+01,0.000000000000000000e+00
-5.042980005855368830e+01,0.000000000000000000e+00
-5.040233284719281670e+01,0.000000000000000000e+00
-5.037486563583195220e+01,0.000000000000000000e+00
-5.034739842447108060e+01,0.000000000000000000e+00
-5.031993121311021611e+01,0.000000000000000000e+00
-5.029246400174934450e+01,0.000000000000000000e+00
-5.026499679038848001e+01,0.000000000000000000e+00
-5.023752957902760841e+01,0.000000000000000000e+00
-5.021006236766674391e+01,0.000000000000000000e+00
-5.018259515630587231e+01,0.000000000000000000e+00
-5.015512794494500781e+01,0.000000000000000000e+00
-5.012766073358413621e+01,0.000000000000000000e+00
-5.010019352222327171e+01,0.000000000000000000e+00
-5.007272631086240011e+01,0.000000000000000000e+00
-5.004525909950153562e+01,0.000000000000000000e+00
-5.001779188814066401e+01,0.000000000000000000e+00
-4.999032467677979952e+01,0.000000000000000000e+00
-4.996285746541892792e+01,0.000000000000000000e+00
-4.993539025405806342e+01,0.000000000000000000e+00
-4.990792304269719182e+01,0.000000000000000000e+00
-4.988045583133632732e+01,0.000000000000000000e+00
-4.985298861997545572e+01,0.000000000000000000e+00
-4.982552140861459122e+01,0.000000000000000000e+00
-4.979805419725371962e+01,0.000000000000000000e+00
-4.977058698589285513e+01,0.000000000000000000e+00
-4.974311977453198352e+01,0.000000000000000000e+00
-4.971565256317111903e+01,0.000000000000000000e+00
